symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ETH/USD,2025-01-29 13:55:00+00:00,3097.4195,3103.244,3097.4195,3101.0955,0.0,0.0,3098.04975
ETH/USD,2025-01-29 14:00:00+00:00,3101.75,3105.84,3098.5745,3100.1585,0.003848189,2.0,3105.610377
ETH/USD,2025-01-29 14:05:00+00:00,3099.841,3100.6515,3097.2045,3100.5815,0.0,0.0,3098.68625
ETH/USD,2025-01-29 14:10:00+00:00,3101.7685,3105.64,3100.7035,3105.64,0.0,0.0,3101.236
ETH/USD,2025-01-29 14:15:00+00:00,3103.9175,3106.045,3101.0255,3106.045,0.0,0.0,3102.4715
ETH/USD,2025-01-29 14:20:00+00:00,3104.265,3112.7225,3104.265,3108.95,0.0,0.0,3104.265
ETH/USD,2025-01-29 14:25:00+00:00,3111.181,3113.7565,3109.4565,3113.7565,0.067830924,3.0,3111.217576
ETH/USD,2025-01-29 14:30:00+00:00,3111.675,3114.5,3105.85,3107.9495,0.000109506,1.0,3111.66
ETH/USD,2025-01-29 14:35:00+00:00,3109.245,3109.245,3086.8,3091.111,15.852962012,4.0,3093.220203
ETH/USD,2025-01-29 14:40:00+00:00,3092.0375,3101.594,3092.0375,3100.4,0.001352675,1.0,3094.81
ETH/USD,2025-01-29 14:45:00+00:00,3098.8,3098.8,3082.4255,3082.4255,0.0,0.0,3096.958
ETH/USD,2025-01-29 14:50:00+00:00,3083.928,3095.3655,3080.589,3095.3655,0.0,0.0,3084.18675
ETH/USD,2025-01-29 14:55:00+00:00,3097.4925,3101.243,3095.7205,3095.733,0.0,0.0,3096.6065
ETH/USD,2025-01-29 15:00:00+00:00,3096.5415,3106.266,3092.9825,3102.3,0.00032276,1.0,3098.273
ETH/USD,2025-01-29 15:05:00+00:00,3104.344,3114.42,3104.344,3111.624,0.001,1.0,3114.42
ETH/USD,2025-01-29 15:10:00+00:00,3109.167,3115.7825,3107.705,3111.6665,0.0,0.0,3111.6835
ETH/USD,2025-01-29 15:15:00+00:00,3109.3095,3111.2235,3101.1975,3105.9935,0.274,1.0,3107.49
ETH/USD,2025-01-29 15:20:00+00:00,3103.59,3109.032,3102.805,3107.75,0.203472098,2.0,3108.413846
ETH/USD,2025-01-29 15:25:00+00:00,3105.41,3105.41,3095.3095,3098.435,0.0,0.0,3104.065
ETH/USD,2025-01-29 15:30:00+00:00,3100.2095,3103.4935,3097.54,3100.925,0.004740092,2.0,3100.914775
ETH/USD,2025-01-29 15:35:00+00:00,3099.45,3103.685,3098.363,3098.363,0.0,0.0,3100.935
ETH/USD,2025-01-29 15:40:00+00:00,3098.0625,3104.45,3097.7,3097.7,0.0,0.0,3099.53875
ETH/USD,2025-01-29 15:45:00+00:00,3099.56,3103.8065,3094.347,3103.8065,0.0,0.0,3100.058
ETH/USD,2025-01-29 15:50:00+00:00,3106.095,3108.561,3102.1755,3102.1755,0.0,0.0,3106.3345
ETH/USD,2025-01-29 15:55:00+00:00,3100.31,3101.864,3095.477,3100.95,0.0,0.0,3101.041
ETH/USD,2025-01-29 16:00:00+00:00,3102.4,3103.91,3098.3765,3101.82,0.109753795,5.0,3103.579266
ETH/USD,2025-01-29 16:05:00+00:00,3100.235,3100.235,3088.8,3088.98,0.157373316,1.0,3091.5
ETH/USD,2025-01-29 16:10:00+00:00,3090.985,3092.8035,3084.4675,3091.9285,0.028660299,2.0,3089.519952
ETH/USD,2025-01-29 16:15:00+00:00,3089.9,3089.9,3074.3295,3082.855,0.140407743,2.0,3082.959722
ETH/USD,2025-01-29 16:20:00+00:00,3081.7605,3091.98,3078.8605,3091.98,0.0,0.0,3081.22
ETH/USD,2025-01-29 16:25:00+00:00,3090.985,3095.01,3088.6115,3091.048,0.0,0.0,3090.93075
ETH/USD,2025-01-29 16:30:00+00:00,3089.069,3099.2,3088.806,3095.89,0.015698232,1.0,3099.2
ETH/USD,2025-01-29 16:35:00+00:00,3096.9855,3098.16,3088.85,3088.85,0.0,0.0,3096.01775
ETH/USD,2025-01-29 16:40:00+00:00,3090.61,3090.61,3084.005,3086.171,0.0,0.0,3090.61
ETH/USD,2025-01-29 16:45:00+00:00,3087.08,3091.645,3084.565,3088.4,0.003805322,1.0,3091.645
ETH/USD,2025-01-29 16:50:00+00:00,3088.875,3091.705,3087.084,3087.084,0.0,0.0,3088.875
ETH/USD,2025-01-29 16:55:00+00:00,3085.934,3085.934,3079.53,3084.445,0.0,0.0,3084.3065
ETH/USD,2025-01-29 17:00:00+00:00,3087.0,3094.22,3084.395,3092.427,0.000323939,1.0,3087.0
ETH/USD,2025-01-29 17:05:00+00:00,3093.1695,3097.11,3093.1695,3097.11,0.0,0.0,3094.459
ETH/USD,2025-01-29 17:10:00+00:00,3098.5005,3101.95,3096.974,3101.95,0.0,0.0,3097.73725
ETH/USD,2025-01-29 17:15:00+00:00,3103.45,3114.5445,3103.45,3114.5445,0.093762812,1.0,3113.3
ETH/USD,2025-01-29 17:20:00+00:00,3112.085,3112.525,3107.655,3112.525,0.0,0.0,3110.6925
ETH/USD,2025-01-29 17:25:00+00:00,3113.887,3123.4935,3113.887,3120.448,0.048,1.0,3116.0
ETH/USD,2025-01-29 17:30:00+00:00,3118.545,3130.044,3114.5355,3129.085,0.0,0.0,3120.3975
ETH/USD,2025-01-29 17:35:00+00:00,3126.9,3127.6,3125.011,3125.1,0.003234338,1.0,3127.05
ETH/USD,2025-01-29 17:40:00+00:00,3124.85,3124.856,3121.3925,3121.584,0.037,1.0,3124.0
ETH/USD,2025-01-29 17:45:00+00:00,3120.0135,3125.693,3118.151,3122.51,0.0,0.0,3119.33175
ETH/USD,2025-01-29 17:50:00+00:00,3121.7515,3121.7515,3113.1,3116.1355,0.00322593,1.0,3113.1
ETH/USD,2025-01-29 17:55:00+00:00,3116.85,3117.2795,3109.835,3111.8295,3.22e-07,1.0,3115.1
ETH/USD,2025-01-29 18:00:00+00:00,3113.599,3115.125,3090.75,3092.2595,0.000321171,1.0,3113.599
ETH/USD,2025-01-29 18:05:00+00:00,3094.477,3107.65,3093.245,3106.325,0.0,0.0,3095.3925
ETH/USD,2025-01-29 18:10:00+00:00,3104.96,3108.2685,3100.7,3106.425,0.0,0.0,3106.61425
ETH/USD,2025-01-29 18:15:00+00:00,3104.48,3107.04,3100.93,3102.585,0.0,0.0,3104.3565
ETH/USD,2025-01-29 18:20:00+00:00,3101.132,3101.55,3096.523,3101.55,0.003795568,1.0,3099.59
ETH/USD,2025-01-29 18:25:00+00:00,3102.685,3112.73,3102.685,3112.73,0.0,0.0,3104.4525
ETH/USD,2025-01-29 18:30:00+00:00,3114.4125,3119.8,3114.4125,3119.8,0.0,0.0,3114.4125
ETH/USD,2025-01-29 18:35:00+00:00,3119.15,3120.0,3111.2785,3112.7095,0.0,0.0,3118.11375
ETH/USD,2025-01-29 18:40:00+00:00,3115.61,3117.9,3111.1605,3113.95,0.003217038,1.0,3117.9
ETH/USD,2025-01-29 18:45:00+00:00,3114.9505,3121.615,3113.515,3121.615,0.0,0.0,3114.9505
ETH/USD,2025-01-29 18:50:00+00:00,3123.6,3123.6,3118.7105,3119.7775,0.0,0.0,3121.2625
ETH/USD,2025-01-29 18:55:00+00:00,3121.42,3134.134,3121.42,3126.946,0.0,0.0,3125.0675
ETH/USD,2025-01-29 19:00:00+00:00,3125.33,3126.879,3080.6935,3093.863,0.082152833,4.0,3118.014655
ETH/USD,2025-01-29 19:05:00+00:00,3095.799,3103.582,3077.85,3084.5415,0.157154779,1.0,3095.799
ETH/USD,2025-01-29 19:10:00+00:00,3082.107,3092.517,3069.2895,3089.094,0.0,0.0,3079.8785
ETH/USD,2025-01-29 19:15:00+00:00,3088.735,3088.735,3065.5215,3068.5315,0.095410938,2.0,3084.101385
ETH/USD,2025-01-29 19:20:00+00:00,3066.5355,3077.7235,3063.062,3068.8375,0.316864505,2.0,3070.839996
ETH/USD,2025-01-29 19:25:00+00:00,3068.2675,3068.2675,3054.8015,3058.7125,0.01748441,1.0,3060.85
ETH/USD,2025-01-29 19:30:00+00:00,3057.62,3096.5,3056.5145,3088.665,0.0,0.0,3063.85325
ETH/USD,2025-01-29 19:35:00+00:00,3086.334,3107.5565,3067.964,3107.5565,0.001264726,1.0,3077.468
ETH/USD,2025-01-29 19:40:00+00:00,3109.2755,3149.204,3102.75,3132.2035,0.114500038,3.0,3118.944332
ETH/USD,2025-01-29 19:45:00+00:00,3134.3405,3148.95,3121.115,3132.75,0.206525393,3.0,3133.579053
ETH/USD,2025-01-29 19:50:00+00:00,3134.752,3144.095,3127.37,3134.37,0.0,0.0,3131.74
ETH/USD,2025-01-29 19:55:00+00:00,3132.254,3136.3475,3116.9695,3125.4765,0.0,0.0,3128.46025
ETH/USD,2025-01-29 20:00:00+00:00,3127.1,3129.7215,3091.105,3092.8995,0.051635934,3.0,3112.743845
ETH/USD,2025-01-29 20:05:00+00:00,3094.986,3117.875,3094.986,3111.0535,0.0,0.0,3104.043
ETH/USD,2025-01-29 20:10:00+00:00,3112.1655,3120.8845,3106.9095,3112.8305,0.0,0.0,3116.525
ETH/USD,2025-01-29 20:15:00+00:00,3111.33,3120.461,3098.5445,3120.461,0.0,0.0,3110.7625
ETH/USD,2025-01-29 20:20:00+00:00,3123.309,3144.345,3115.7915,3144.2495,0.048,1.0,3132.0
ETH/USD,2025-01-29 20:25:00+00:00,3142.89,3180.8725,3142.89,3160.9985,0.076531211,3.0,3159.171264
ETH/USD,2025-01-29 20:30:00+00:00,3162.998,3173.591,3156.3605,3160.275,0.000873256,1.0,3166.66
ETH/USD,2025-01-29 20:35:00+00:00,3159.6005,3161.335,3141.135,3142.948,0.0,0.0,3156.2185
ETH/USD,2025-01-29 20:40:00+00:00,3144.538,3144.538,3128.739,3135.6,0.143,2.0,3138.31049
ETH/USD,2025-01-29 20:45:00+00:00,3133.945,3138.19,3126.6,3137.76,1.129430042,1.0,3126.6
ETH/USD,2025-01-29 20:50:00+00:00,3139.72,3149.643,3129.83,3142.3635,1.448248234,78.0,3138.620661
ETH/USD,2025-01-29 20:55:00+00:00,3143.885,3145.916,3137.13,3137.13,0.0,0.0,3144.36
ETH/USD,2025-01-29 21:00:00+00:00,3138.9305,3142.15,3123.198,3123.198,0.0,0.0,3139.195
