,Date,Close
0,2025-01-30 10:10:00+00:00,105235.25
1,2025-01-30 10:15:00+00:00,105153.785
2,2025-01-30 10:20:00+00:00,105257.97
3,2025-01-30 10:25:00+00:00,105266.594
4,2025-01-30 10:30:00+00:00,105241.725
5,2025-01-30 10:35:00+00:00,105214.5
6,2025-01-30 10:40:00+00:00,105217.915
7,2025-01-30 10:45:00+00:00,105295.76
8,2025-01-30 10:50:00+00:00,105325.415
9,2025-01-30 10:55:00+00:00,105310.0735
10,2025-01-30 11:00:00+00:00,105261.1
11,2025-01-30 11:05:00+00:00,105132.315
12,2025-01-30 11:10:00+00:00,105168.219
13,2025-01-30 11:15:00+00:00,105208.5
14,2025-01-30 11:20:00+00:00,105077.803
15,2025-01-30 11:25:00+00:00,105103.925
16,2025-01-30 11:30:00+00:00,105223.2
17,2025-01-30 11:35:00+00:00,105332.97
18,2025-01-30 11:40:00+00:00,105293.201
19,2025-01-30 11:45:00+00:00,105298.915
20,2025-01-30 11:50:00+00:00,105409.6
21,2025-01-30 11:55:00+00:00,105290.309
22,2025-01-30 12:00:00+00:00,105176.7
23,2025-01-30 12:10:00+00:00,105081.321
24,2025-01-30 12:15:00+00:00,105063.03
25,2025-01-30 12:20:00+00:00,105147.5215
26,2025-01-30 12:25:00+00:00,105048.738
27,2025-01-30 12:30:00+00:00,105089.952
28,2025-01-30 12:35:00+00:00,105029.9935
29,2025-01-30 12:40:00+00:00,104906.5335
30,2025-01-30 12:45:00+00:00,105034.5555
31,2025-01-30 12:50:00+00:00,105037.33
32,2025-01-30 12:55:00+00:00,105043.3135
33,2025-01-30 13:00:00+00:00,104934.6075
34,2025-01-30 13:05:00+00:00,104994.59
35,2025-01-30 13:10:00+00:00,105052.357
36,2025-01-30 13:15:00+00:00,105331.545
37,2025-01-30 13:20:00+00:00,105220.467
38,2025-01-30 13:25:00+00:00,105213.448
39,2025-01-30 13:30:00+00:00,105062.7
40,2025-01-30 13:35:00+00:00,104958.955
41,2025-01-30 13:40:00+00:00,105054.886
42,2025-01-30 13:45:00+00:00,104975.4975
43,2025-01-30 13:50:00+00:00,104957.12
44,2025-01-30 13:55:00+00:00,104860.705
45,2025-01-30 14:00:00+00:00,104785.2255
46,2025-01-30 14:05:00+00:00,104984.155
47,2025-01-30 14:10:00+00:00,104849.826
48,2025-01-30 14:15:00+00:00,104733.5745
49,2025-01-30 14:20:00+00:00,104904.218
50,2025-01-30 14:25:00+00:00,104880.12
51,2025-01-30 14:30:00+00:00,105038.2015
52,2025-01-30 14:35:00+00:00,105070.85
53,2025-01-30 14:40:00+00:00,105184.645
54,2025-01-30 14:45:00+00:00,105756.47
55,2025-01-30 14:50:00+00:00,106005.7735
56,2025-01-30 14:55:00+00:00,105915.21
57,2025-01-30 15:00:00+00:00,105996.55
58,2025-01-30 15:05:00+00:00,106116.3095
59,2025-01-30 15:10:00+00:00,106217.3265
60,2025-01-30 15:15:00+00:00,106034.491
61,2025-01-30 15:20:00+00:00,105898.9855
62,2025-01-30 15:25:00+00:00,105501.4665
63,2025-01-30 15:30:00+00:00,105794.954
64,2025-01-30 15:35:00+00:00,105857.7325
65,2025-01-30 15:40:00+00:00,105841.505
66,2025-01-30 15:45:00+00:00,105988.0205
67,2025-01-30 15:50:00+00:00,105726.67
68,2025-01-30 15:55:00+00:00,105558.625
69,2025-01-30 16:00:00+00:00,105717.78
70,2025-01-30 16:05:00+00:00,105748.1
71,2025-01-30 16:10:00+00:00,105685.681
72,2025-01-30 16:15:00+00:00,105849.0755
73,2025-01-30 16:20:00+00:00,105918.45
74,2025-01-30 16:25:00+00:00,105958.62
75,2025-01-30 16:30:00+00:00,105815.49
76,2025-01-30 16:35:00+00:00,105831.9435
77,2025-01-30 16:40:00+00:00,105801.2345
78,2025-01-30 16:45:00+00:00,105717.93
79,2025-01-30 16:50:00+00:00,105725.754
80,2025-01-30 16:55:00+00:00,105709.293
81,2025-01-30 17:00:00+00:00,105432.647
82,2025-01-30 17:05:00+00:00,105438.891
83,2025-01-30 17:10:00+00:00,105302.7485
84,2025-01-30 17:15:00+00:00,105303.7
