Date,Close
2025-01-30 13:45:00+00:00,3248.8655
2025-01-30 13:50:00+00:00,3254.985
2025-01-30 13:55:00+00:00,3261.982
2025-01-30 14:00:00+00:00,3254.086
2025-01-30 14:05:00+00:00,3265.184
2025-01-30 14:10:00+00:00,3265.13
2025-01-30 14:15:00+00:00,3247.149
2025-01-30 14:20:00+00:00,3253.745
2025-01-30 14:25:00+00:00,3253.87
2025-01-30 14:30:00+00:00,3245.45
2025-01-30 14:35:00+00:00,3250.485
2025-01-30 14:40:00+00:00,3254.19
2025-01-30 14:45:00+00:00,3265.545
2025-01-30 14:50:00+00:00,3275.544
2025-01-30 14:55:00+00:00,3269.92
2025-01-30 15:00:00+00:00,3265.542
2025-01-30 15:05:00+00:00,3266.9325
2025-01-30 15:10:00+00:00,3270.192
2025-01-30 15:15:00+00:00,3263.254
2025-01-30 15:20:00+00:00,3263.889
2025-01-30 15:25:00+00:00,3252.431
2025-01-30 15:30:00+00:00,3262.92
2025-01-30 15:35:00+00:00,3270.628
2025-01-30 15:40:00+00:00,3265.7835
2025-01-30 15:45:00+00:00,3269.75
2025-01-30 15:50:00+00:00,3259.955
2025-01-30 15:55:00+00:00,3257.084
2025-01-30 16:00:00+00:00,3258.8605
2025-01-30 16:05:00+00:00,3261.8595
2025-01-30 16:10:00+00:00,3254.4635
2025-01-30 16:15:00+00:00,3261.0695
2025-01-30 16:20:00+00:00,3270.4845
2025-01-30 16:25:00+00:00,3267.5795
2025-01-30 16:30:00+00:00,3266.4375
2025-01-30 16:35:00+00:00,3266.62
2025-01-30 16:40:00+00:00,3262.7425
2025-01-30 16:45:00+00:00,3268.95
2025-01-30 16:50:00+00:00,3274.2095
2025-01-30 16:55:00+00:00,3278.66
2025-01-30 17:00:00+00:00,3276.397
2025-01-30 17:05:00+00:00,3270.3865
2025-01-30 17:10:00+00:00,3273.8515
2025-01-30 17:15:00+00:00,3281.375
2025-01-30 17:20:00+00:00,3276.843
2025-01-30 17:25:00+00:00,3269.265
2025-01-30 17:30:00+00:00,3271.42
2025-01-30 17:35:00+00:00,3259.8305
2025-01-30 17:40:00+00:00,3258.398
2025-01-30 17:45:00+00:00,3264.81
2025-01-30 17:50:00+00:00,3268.25
2025-01-30 17:55:00+00:00,3273.215
2025-01-30 18:00:00+00:00,3267.7425
2025-01-30 18:05:00+00:00,3272.89
2025-01-30 18:10:00+00:00,3272.705
2025-01-30 18:15:00+00:00,3271.172
2025-01-30 18:20:00+00:00,3273.106
2025-01-30 18:25:00+00:00,3261.5985
2025-01-30 18:30:00+00:00,3264.3455
2025-01-30 18:35:00+00:00,3273.3
2025-01-30 18:40:00+00:00,3272.7285
2025-01-30 18:45:00+00:00,3269.9
2025-01-30 18:50:00+00:00,3267.3
2025-01-30 18:55:00+00:00,3270.685
2025-01-30 19:00:00+00:00,3267.1045
2025-01-30 19:05:00+00:00,3273.8775
2025-01-30 19:10:00+00:00,3274.262
2025-01-30 19:15:00+00:00,3267.675
2025-01-30 19:20:00+00:00,3268.0485
2025-01-30 19:25:00+00:00,3269.35
2025-01-30 19:30:00+00:00,3266.02
2025-01-30 19:35:00+00:00,3262.935
2025-01-30 19:40:00+00:00,3261.25
2025-01-30 19:45:00+00:00,3267.3395
2025-01-30 19:50:00+00:00,3270.676
2025-01-30 19:55:00+00:00,3272.8735
2025-01-30 20:00:00+00:00,3267.39
2025-01-30 20:05:00+00:00,3268.303
2025-01-30 20:10:00+00:00,3265.555
2025-01-30 20:15:00+00:00,3270.86
2025-01-30 20:20:00+00:00,3263.0
2025-01-30 20:25:00+00:00,3260.175
2025-01-30 20:30:00+00:00,3255.23
2025-01-30 20:35:00+00:00,3242.85
2025-01-30 20:40:00+00:00,3231.9975
2025-01-30 20:45:00+00:00,3246.85
2025-01-30 20:50:00+00:00,3247.2435
2025-01-30 20:55:00+00:00,3248.597
